timestamp,index,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,sm_clock_mhz
2026/08/30 01:00:04.126, 2, 22733, 1394, 100, 165.43, 1650
2026/08/30 01:00:04.140, 3, 22733, 1394, 100, 175.32, 1650
2026/08/30 01:00:05.348, 0, 22757, 1370, 100, 158.90, 1650
2026/08/30 01:00:05.379, 1, 22733, 1394, 100, 166.05, 1650
2026/08/30 01:00:05.409, 2, 22733, 1394, 100, 164.32, 1650
2026/08/30 01:00:05.442, 3, 22733, 1394, 100, 174.60, 1650
2026/08/30 01:00:06.678, 0, 22757, 1370, 100, 159.66, 1650
2026/08/30 01:00:06.692, 1, 22733, 1394, 100, 165.31, 1650
2026/08/30 01:00:06.705, 2, 22733, 1394, 100, 163.91, 1650
2026/08/30 01:00:06.717, 3, 22733, 1394, 100, 173.31, 1650
2026/08/30 01:00:07.929, 0, 22757, 1370, 58, 159.87, 1650
2026/08/30 01:00:07.944, 1, 22733, 1394, 59, 165.24, 1650
2026/08/30 01:00:07.957, 2, 22733, 1394, 100, 164.23, 1650
2026/08/30 01:00:07.971, 3, 22733, 1394, 82, 173.51, 1650
2026/08/30 01:00:09.181, 0, 22757, 1370, 100, 161.49, 1650
2026/08/30 01:00:09.198, 1, 22733, 1394, 100, 167.80, 1650
2026/08/30 01:00:09.216, 2, 22733, 1394, 100, 166.40, 1650
2026/08/30 01:00:09.228, 3, 22733, 1394, 100, 175.49, 1650
2026/08/30 01:00:10.426, 0, 22757, 1370, 100, 161.20, 1650
2026/08/30 01:00:10.439, 1, 22733, 1394, 100, 167.79, 1650
2026/08/30 01:00:10.451, 2, 22733, 1394, 100, 166.65, 1650
2026/08/30 01:00:10.464, 3, 22733, 1394, 100, 175.52, 1650
2026/08/30 01:00:11.649, 0, 22757, 1370, 100, 159.21, 1650
2026/08/30 01:00:11.661, 1, 22733, 1394, 100, 165.26, 1650
2026/08/30 01:00:11.675, 2, 22733, 1394, 100, 164.10, 1650
2026/08/30 01:00:11.688, 3, 22733, 1394, 100, 173.14, 1650
2026/08/30 01:00:12.916, 0, 22757, 1370, 66, 159.92, 1650
2026/08/30 01:00:12.928, 1, 22733, 1394, 67, 166.36, 1650
2026/08/30 01:00:12.941, 2, 22733, 1394, 66, 164.57, 1650
2026/08/30 01:00:12.955, 3, 22733, 1394, 74, 173.68, 1650
2026/08/30 01:00:14.161, 0, 22757, 1370, 100, 161.96, 1650
2026/08/30 01:00:14.175, 1, 22733, 1394, 100, 167.90, 1650
2026/08/30 01:00:14.191, 2, 22733, 1394, 100, 166.38, 1650
2026/08/30 01:00:14.203, 3, 22733, 1394, 100, 175.48, 1650
2026/08/30 01:00:15.394, 0, 22757, 1370, 100, 161.68, 1650
2026/08/30 01:00:15.409, 1, 22733, 1394, 100, 166.72, 1650
2026/08/30 01:00:15.420, 2, 22733, 1394, 100, 165.32, 1650
2026/08/30 01:00:15.435, 3, 22733, 1394, 100, 175.48, 1650
2026/08/30 01:00:16.620, 0, 22757, 1370, 100, 159.76, 1650
2026/08/30 01:00:16.634, 1, 22733, 1394, 100, 166.31, 1650
2026/08/30 01:00:16.646, 2, 22733, 1394, 100, 164.66, 1650
2026/08/30 01:00:16.660, 3, 22733, 1394, 100, 173.47, 1650
2026/08/30 01:00:17.864, 0, 22757, 1370, 84, 160.59, 1650
2026/08/30 01:00:17.874, 1, 22733, 1394, 100, 167.90, 1650
2026/08/30 01:00:17.883, 2, 22733, 1394, 100, 166.63, 1650
2026/08/30 01:00:17.896, 3, 22733, 1394, 100, 173.28, 1650
2026/08/30 01:00:19.098, 0, 22757, 1370, 100, 161.87, 1650
2026/08/30 01:00:19.110, 1, 22733, 1394, 100, 168.11, 1650
2026/08/30 01:00:19.123, 2, 22733, 1394, 100, 166.30, 1650
2026/08/30 01:00:19.136, 3, 22733, 1394, 100, 175.75, 1650
2026/08/30 01:00:20.330, 0, 22757, 1370, 100, 159.41, 1650
2026/08/30 01:00:20.341, 1, 22733, 1394, 100, 166.21, 1650
2026/08/30 01:00:20.355, 2, 22733, 1394, 100, 164.76, 1650
2026/08/30 01:00:20.367, 3, 22733, 1394, 100, 173.67, 1650
2026/08/30 01:00:21.582, 0, 22757, 1370, 62, 159.71, 1650
2026/08/30 01:00:21.597, 1, 22733, 1394, 60, 166.31, 1650
2026/08/30 01:00:21.612, 2, 22733, 1394, 61, 164.85, 1650
2026/08/30 01:00:21.625, 3, 22733, 1394, 61, 173.88, 1650
2026/08/30 01:00:22.819, 0, 22757, 1370, 100, 161.58, 1650
2026/08/30 01:00:22.830, 1, 22733, 1394, 100, 167.89, 1650
2026/08/30 01:00:22.844, 2, 22733, 1394, 100, 166.99, 1650
2026/08/30 01:00:22.857, 3, 22733, 1394, 100, 175.17, 1650
2026/08/30 01:00:24.043, 0, 22757, 1370, 100, 160.80, 1650
2026/08/30 01:00:24.060, 1, 22733, 1394, 100, 166.65, 1650
2026/08/30 01:00:24.073, 2, 22733, 1394, 100, 165.43, 1650
2026/08/30 01:00:24.090, 3, 22733, 1394, 100, 175.34, 1650
2026/08/30 01:00:25.286, 0, 22757, 1370, 58, 160.87, 1650
2026/08/30 01:00:25.301, 1, 22733, 1394, 59, 166.51, 1650
2026/08/30 01:00:25.312, 2, 22733, 1394, 59, 165.01, 1650
2026/08/30 01:00:25.327, 3, 22733, 1394, 90, 173.47, 1650
2026/08/30 01:00:26.517, 0, 22757, 1370, 100, 162.75, 1650
2026/08/30 01:00:26.531, 1, 22733, 1394, 100, 168.79, 1650
2026/08/30 01:00:26.546, 2, 22733, 1394, 100, 167.41, 1650
2026/08/30 01:00:26.556, 3, 22733, 1394, 100, 176.55, 1650
2026/08/30 01:00:27.733, 0, 22757, 1370, 100, 160.53, 1650
2026/08/30 01:00:27.750, 1, 22733, 1394, 100, 167.81, 1650
2026/08/30 01:00:27.768, 2, 22733, 1394, 100, 166.45, 1650
